smiles,surface_tension
CC(=O)O,27.1
CC(=O)C,23.7
CC#N,29.04
C1=CC=C(C=C1)N,42.12
COC1=CC=CC=C1,35
C1=CC=C(C=C1)C#N,38.79
C1=CC=C(C=C1)CO,39
C1=CC=C(C=C1)Br,36
CCCCO,24.93
CC(C)CO,23
CCOCCOCCO,31.8
C(=S)=S,32.25
CCOCCO,28.2
C1=CC=C(C=C1)Cl,33.5
C(Cl)(Cl)Cl,27.1
C1CCCCC1,24.98
C1CCC(CC1)O,33.47
CCCCCCCCCC,23.37
CC(Cl)Cl,24.07
C(CCl)Cl,32.2
C(Cl)Cl,28.2
C(COCCO)O,48.5
CCOCC,17.06
COCCOC,24.61
CC(=O)N(C)C,34
C1COCCO1,32.75
CCO,21.97
CCOC(=O)C,24
CCC1=CC=CC=C1,29.2
CCCCCCC,19.66
CCCCCC,17.89
CC1=CC(=CC(=C1)C)C,28.84
CO,22.07
CC(=O)NC,33.67
CC(=O)OC,24.73
COCCO,30.84
CCC(=O)C,23.97
CNC=O,37.96
C1COCCN1,37.5
C1=CC=C(C=C1)[N+](=O)[O-],46.34
CC[N+](=O)[O-],32.66
C[N+](=O)[O-],37.19
CCCCCCCC,21.14
CCCCC,16
CC(C)(C)C,12.05
CCCCCO,25.5
CCCO,23.75
CC(C)O,20.93
CCC#N,27.25
C1=CC=C2C(=C1)C=CC=N2,45
C(C(Cl)Cl)(Cl)Cl,34.72
C(=C(Cl)Cl)(Cl)Cl,31.5
C1CCOC1,26.4
C1CCC2=CC=CC=C2C1,35.5
CC1=CC=CC=C1,27.73
C(=C(Cl)Cl)Cl,26.5
CC1=CC(=CC=C1)C,28.47
CC1=CC=C(C=C1)C,28.01
C(F)(Cl)Cl,18
C(C(F)(Cl)Cl)(F)(Cl)Cl,23.5
C(C(F)(Cl)Cl)(F)(F)Cl,19.6
CC(C)CC(=O)C,23.6
C(=CCl)Cl,24
CCCCOC(=O)C,14.5
CC(CCO)O,37.8
CC(=O)OCCOC,32.1
CC(Cl)(Cl)Cl,25.18
CC(C)OC(=O)C,26
CCCOC(=O)C,24.3
C=O,27.3797
C=CC1=CC=CC=C1,32.3
CC(C)C1=CC=CC=C1,27.69
CC(CO)O,40.1
C=CC#N,27
C=CC=O,24
C=CCCl,27
CC(=C)C=O,23.41
C1CCC(=O)CC1,35.05
CC(=O)OC=C,23.95
C=CCO,25.68
CCOC(=O)C=C,25
COC(=O)C=C,24.2
CC(=C)C(=O)OC,28
CC(=C)C1=CC=CC=C1,32.4
CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],39.2
ClCl,18
CC=O,21.2
COC=O,24
CC(=O)OC(=O)C,31.93
CCCC[Si](Cl)(Cl)Cl,25
C1CCC2CCCCC2C1,30
CCCCOCCCC,23
C1=CC=C(C=C1)[Si](C2=CC=CC=C2)(Cl)Cl,26
B(Br)(Br)Br,29.1
CCN(CC)CCO,29.2
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,15
CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,20
C[Si](C)(Cl)Cl,20.1
C1=CC=C(C=C1)COC(=O)Cl,25
C1=CC=C(C=C1)CCl,37.46
C1=CC=C(C=C1)CBr,32.3
C1=CC=C(C=C1)C(=O)Cl,36.3
C1=CC=C(C=C1)C=O,38
