smiles,surface_tension,predicted_surface_tension
CC(=O)O,27.1,25.21590642
CC(=O)C,23.7,24.00816742
CC#N,29.04,28.75629425
C1=CC=C(C=C1)N,42.12,42.02002477
COC1=CC=CC=C1,35,35.55542453
C1=CC=C(C=C1)C#N,38.79,42.48794868
C1=CC=C(C=C1)CO,39,39.45181769
C1=CC=C(C=C1)Br,36,35.14303801
CCCCO,24.93,24.64433086
CC(C)CO,23,21.91287592
CCOCCOCCO,31.8,32.07063851
C(=S)=S,32.25,31.1956204
CCOCCO,28.2,28.73598152
C1=CC=C(C=C1)Cl,33.5,32.40249344
C(Cl)(Cl)Cl,27.1,26.35565683
C1CCCCC1,24.98,24.41754333
C1CCC(CC1)O,33.47,34.40074446
CCCCCCCCCC,23.37,24.92455549
CC(Cl)Cl,24.07,23.59695924
C(CCl)Cl,32.2,32.86853579
C(Cl)Cl,28.2,28.16717803
C(COCCO)O,48.5,51.42191662
CCOCC,17.06,22.16564111
COCCOC,24.61,24.18455098
CC(=O)N(C)C,34,35.17820694
CN(C)C=O,36.42,25.30440035
C1COCCO1,32.75,34.11796858
CCO,21.97,20.20545703
CCOC(=O)C,24,23.66850765
CCC1=CC=CC=C1,29.2,29.37812019
CCCCCCC,19.66,19.91909136
CCCCCC,17.89,17.99839433
CC1=CC(=CC(=C1)C)C,28.84,29.65986736
CO,22.07,21.0704213
CC(=O)NC,33.67,35.2941658
CC(=O)OC,24.73,24.33412258
COCCO,30.84,30.33697541
CCC(=O)C,23.97,23.46805278
CNC=O,37.96,31.33779892
C1COCCN1,37.5,38.71470846
C1=CC=C(C=C1)[N+](=O)[O-],46.34,46.52062083
CC[N+](=O)[O-],32.66,31.77175656
C[N+](=O)[O-],37.19,36.9849642
CCCCCCCC,21.14,21.89944449
CCCCC,16,16.54408595
CC(C)(C)C,12.05,16.49349387
CCCCCO,25.5,25.59181971
CCCO,23.75,23.37850838
CC(C)O,20.93,18.72473547
CCC#N,27.25,27.15637821
C1=CC=C2C(=C1)C=CC=N2,45,46.72378802
C(C(Cl)Cl)(Cl)Cl,34.72,34.92086851
